,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
28,frozenset({'broccoli'}),frozenset({'apples'}),0.12508674531575295,0.05022553782095767,0.004944482997918113,0.03952843273231623,0.7870186054199335,-0.001338066059838737,0.9888626530412845,-0.2362379836434072
29,frozenset({'apples'}),frozenset({'broccoli'}),0.05022553782095767,0.12508674531575295,0.004944482997918113,0.09844559585492228,0.7870186054199335,-0.001338066059838737,0.9704497595060901,-0.22174669385159276
30,frozenset({'apples'}),frozenset({'brown bread'}),0.05022553782095767,0.03808119361554476,0.001561415683553088,0.0310880829015544,0.8163631427998158,-0.0003512327466516671,0.9927825114021384,-0.19148831427762672
31,frozenset({'brown bread'}),frozenset({'apples'}),0.03808119361554476,0.05022553782095767,0.001561415683553088,0.04100227790432802,0.8163631427998158,-0.0003512327466516671,0.9903823964289776,-0.1895289488750564
32,frozenset({'butter'}),frozenset({'apples'}),0.03686675919500347,0.05022553782095767,0.001040943789035392,0.028235294117647056,0.5621700701005791,-0.0008107090192493937,0.9773708145910242,-0.4470961718020542
33,frozenset({'apples'}),frozenset({'butter'}),0.05022553782095767,0.03686675919500347,0.001040943789035392,0.020725388601036267,0.562170070100579,-0.0008107090192493937,0.9835170130971658,-0.4505513806471039
34,frozenset({'canned beer'}),frozenset({'apples'}),0.049097848716169325,0.05022553782095767,0.0013011797362942402,0.026501766784452298,0.5276552115564181,-0.0011647861213273803,0.9756303912764754,-0.4849071498383581
35,frozenset({'apples'}),frozenset({'canned beer'}),0.05022553782095767,0.049097848716169325,0.0013011797362942402,0.025906735751295335,0.527655211556418,-0.0011647861213273803,0.9761921021158475,-0.48520353949014045
36,frozenset({'apples'}),frozenset({'chicken'}),0.05022553782095767,0.029840388619014575,0.0011276891047883415,0.022452504317789293,0.7524199702775435,-0.0003710604623880498,0.9924424293102306,-0.25730371669040797
37,frozenset({'chicken'}),frozenset({'apples'}),0.029840388619014575,0.05022553782095767,0.0011276891047883415,0.0377906976744186,0.7524199702775434,-0.0003710604623880498,0.9870767824458929,-0.2532664968362232
38,frozenset({'chocolate'}),frozenset({'apples'}),0.024635669673837613,0.05022553782095767,0.0013879250520471894,0.05633802816901408,1.1217008440973995,0.0001505852930992384,1.0064774151449554,0.1112371042333688
39,frozenset({'apples'}),frozenset({'chocolate'}),0.05022553782095767,0.024635669673837613,0.0013879250520471894,0.027633851468048358,1.1217008440973995,0.0001505852930992384,1.0030833876711331,0.11423417663713568
40,frozenset({'coffee'}),frozenset({'apples'}),0.030881332408049966,0.05022553782095767,0.001040943789035392,0.033707865168539325,0.6711299994178261,-0.0005100877397866874,0.9829061294643577,-0.33583021223470677
41,frozenset({'apples'}),frozenset({'coffee'}),0.05022553782095767,0.030881332408049966,0.001040943789035392,0.020725388601036267,0.671129999417826,-0.0005100877397866874,0.9896291155833141,-0.34034220990480796
42,frozenset({'apples'}),frozenset({'curd'}),0.05022553782095767,0.034524635669673835,0.0013011797362942402,0.025906735751295335,0.7503840445752077,-0.0004328386582877473,0.9911529006157072,-0.2593920372299408
43,frozenset({'curd'}),frozenset({'apples'}),0.034524635669673835,0.05022553782095767,0.0013011797362942402,0.03768844221105528,0.7503840445752077,-0.0004328386582877473,0.9869718954236524,-0.25625467764353677
44,frozenset({'domestic eggs'}),frozenset({'apples'}),0.038428174878556556,0.05022553782095767,0.001040943789035392,0.02708803611738149,0.539327945356086,-0.0008891319617179258,0.9762182987130297,-0.47042172775807095
45,frozenset({'apples'}),frozenset({'domestic eggs'}),0.05022553782095767,0.038428174878556556,0.001040943789035392,0.020725388601036267,0.539327945356086,-0.0008891319617179258,0.9819225515790401,-0.473498190736088
46,frozenset({'frankfurter'}),frozenset({'apples'}),0.039382373351839,0.05022553782095767,0.0017349063150589867,0.04405286343612334,0.8771008802964246,-0.00024309456720287854,0.99354287057439,-0.12729622595415044
47,frozenset({'apples'}),frozenset({'frankfurter'}),0.05022553782095767,0.039382373351839,0.0017349063150589867,0.03454231433506045,0.8771008802964247,-0.00024309456720287854,0.9949867725031936,-0.12856267360696588
48,frozenset({'fruit/vegetable juice'}),frozenset({'apples'}),0.034611380985426786,0.05022553782095767,0.001561415683553088,0.045112781954887216,0.8982040593712259,-0.00017695954116604012,0.994645696612698,-0.10506212054199675
49,frozenset({'apples'}),frozenset({'fruit/vegetable juice'}),0.05022553782095767,0.034611380985426786,0.001561415683553088,0.0310880829015544,0.8982040593712259,-0.00017695954116604012,0.9963636549187841,-0.10660519766635392
50,frozenset({'hard cheese'}),frozenset({'apples'}),0.015440666204024983,0.05022553782095767,0.0013011797362942402,0.08426966292134831,1.6778249985445652,0.0005256639718832004,1.0371770200482795,0.41032599118942725
51,frozenset({'apples'}),frozenset({'hard cheese'}),0.05022553782095767,0.015440666204024983,0.0013011797362942402,0.025906735751295335,1.6778249985445652,0.0005256639718832004,1.0107444224607616,0.4253539135994154
52,frozenset({'lettuces'}),frozenset({'apples'}),0.02914642609299098,0.05022553782095767,0.0012144344205412907,0.041666666666666664,0.8295912492803683,-0.00024946050553797516,0.9910690040129138,-0.17463126843657822
53,frozenset({'apples'}),frozenset({'lettuces'}),0.05022553782095767,0.02914642609299098,0.0012144344205412907,0.024179620034542312,0.8295912492803683,-0.00024946050553797516,0.994910122640988,-0.17781782683787645
54,frozenset({'margarine'}),frozenset({'apples'}),0.03278972935461485,0.05022553782095767,0.0012144344205412907,0.03703703703703704,0.7374144438047721,-0.00043244737129788336,0.9863042491859286,-0.2690921009505081
55,frozenset({'apples'}),frozenset({'margarine'}),0.05022553782095767,0.03278972935461485,0.0012144344205412907,0.024179620034542312,0.737414443804772,-0.00043244737129788336,0.9911765428383681,-0.2726850006642753
56,frozenset({'oranges'}),frozenset({'apples'}),0.05647120055517002,0.05022553782095767,0.001561415683553088,0.027649769585253454,0.550512165421074,-0.0012748807357254894,0.9767822667907687,-0.463909904137608
57,frozenset({'apples'}),frozenset({'oranges'}),0.05022553782095767,0.05647120055517002,0.001561415683553088,0.0310880829015544,0.550512165421074,-0.0012748807357254894,0.9738024507639155,-0.4622694791641087
